Sally decided to get a haircut.,She went to the stylist and got her cut.,She was upset when she realized the stylist cut it way too short.,The stylist did not charge her but that did not fix her hair.,She waited for months for her hair to grow back out.
kyle's mom had been in the military and was very proud of it.,She found her pet watermelon Mel in the corner of the garden.,She painted eyes and a mouth onto her pet with the marker.,Her grandmother gave her yarn to glue on for hair.,"Lucy hugged Me goodnight, and went inside to have dinner."
Jan's lamp broke.,Jan decided to get a new lamp.,He went to the store.,He found a lamp he liked.,He bought the lamp.
This year I watched the NBA dunk contest with my friends.,The dunks were out of this world!,Aaron Gordon and Zach LaVine put on a great show for the fans!,I have never seen those kind of dunks before in my life!,Zach LaVine barely beat Aaron Gordon in the finals.
It was Tyler's first day of Kindergarten.,He was very nervous.,"He clung to his mother's leg, but she finally left and he had to stay.","After a little while, he started to take part in the class.","By the end of the day, he was glad he had gone!"
Gloria wanted to find a special new dress for her anniversary dinner.,She ordered a fancy black dress that looked lovely in a catalog.,"When the dress arrived, Gloria was excited to try it on.","Sadly, the dress was frumpy and saggy and the zipper broke at once.",Gloria was very disappointed and returned the dress for a refund.
I wanted to run a computer program.,"But, my computer didn't have enough RAM.","So, I decided to upgrade my RAM.","Alas, my computer didn't allow RAM upgrades.",I decided to buy a new computer.
Roxy and Sam had everything they needed to make a huge sand castle.,They spent the morning talking about their design.,After lunch they started construction.,"By evening, everyone was gathered around their masterpiece.",It was the biggest sand castle they had ever built.
Bailey needed a haircut.,One day she went to a salon.,The salon gave her a haircut.,She loved how healthy her hair felt.,She made a plan to come back in three months for another haircut.
It had been raining for 2 days straight.,The sky finally turned blue.,When I looked up there was a rainbow.,It stretched for miles across the town.,It was a beautiful sight after a rainy day.
Jake was biking at the park.,He didn't notice a large mud puddle in the ground.,His bike splashed mud all over his pants.,Jake changed into shorts when he got back to his car.,He put his dirty clothes into a plastic bag.
Katie went to a girl's camp across the lake from a boy's camp.,"When the girls went swimming, the boys across the lake watched.",Katie noticed that the boys didn't watch her.,She climbed a rock to get their attention by diving.,All eyes were on Katie when she slipped and got knocked unconscious.
Fiona loves eating contests.,Her state's fair is having a pie eating contest.,She entered the contest right away.,She tried her best to win the contest.,Fiona got first place.
Teddy was going on a big trip.,He was headed to the rainy forest for the first time.,He arrived and got off the plane.,He made his way to the tour guide and the trip began.,"He saw so many amazing plants and animals, he was delighted."
John is a big fan of Game of Thrones.,"However, he has not read the books.","Last week, George spoiled what happens accidentally.",John was furious.,It almost ruined their friendship.
George was at the hotel last night.,He needed ice for his drinks.,The room he was in was all out.,He had to go out to the ice machine to get more.,Luckily there was plenty left there for him.
"One afternoon, I let my dog, Pandy, outside to play.",Pandy was enjoying herself until she noticed a rabbit nearby.,The rabbit saw Pandy and started to hop away as fast as it could.,"Pandy chased the rabbit for a long time, but finally had to stop.","She returned to the house, tired and ready for a long nap."
Allie had to go on a trip to the islands.,On the way there she had to go on a small plane.,She was very scared to do so.,The plane experienced a lot of turbulence.,Thankfully it was over soon.
Dakota was a senior in high school with mediocre grades.,Dakota filled out an application to his local college.,He waited for a letter of reply from the college.,One day he went to the mailbox and found a thin envelope.,He opened the envelope and was disappointed he hadn���?been accepted.
The baby monkey was the newest addition to the zoo.,People came to see him in droves and he was soon very famous.,"When the monkey grew up, he sired a family of his own.",These monkeys were very smart and people loved to watch them.,The monkey was famous his whole life.
Jason wants to see a good movie.,He reads the movie listings to see what is available.,He chooses a superhero movie.,Jason walks to the movie theater.,Jason enjoys the movie that he picked out to see.
"For Mitch's birthday, his friend gave him a history book.",Mitch thanked his friend but secretly hated the gift.,The book sat on his coffee table for months before he opened it.,Inside the book was an inscription.,The inscription said that the friend hoped Matched liked the book.
Joy was running a bath.,She squeezed the bottle of bubble bath.,"The lid came off, spilling almost half the bottle into the tub.",Bubbles quickly started to fill the tub.,"They spilled over onto the floor, making a mess."
A large storm was coming into Jim's hometown.,He boarded up his house in preparation.,The storm finally hit and Jim's house was blown away.,Jim realized that boarding up did not help at all.,"The next time a storm came, Jim didn't bother boarding up."
Polly was worried when her house cat escaped into the yard.,Her mom assured her she would come back.,A few hours later she reappeared with something in her mouth.,She had bought the family a mouse as a gift.,"She dropped it at Polly's feet, looking proud."
Candace had to make a pinhole camera for art class.,She took the camera outside and followed the steps to take a picture.,"Then, she took the picture to the darkroom to develop it.","In the dark room, she saw that the picture didn't develop.",She had to start over from the beginning.
Tia found a newt by the creek.,It was missing a leg!,Tia took it home carefully.,She put it in a tank and fed it.,It flourished happily in its new home!
Gary invited his friend Tom over.,Tom told him that he would be busy that night.,"Later, Gary was at the grocery store with his mom.","Suddenly, he noticed Tom outside with some other kids.",Tom had lied to Gary.
Josh was hungry.,He decided to make tuna salad.,Little did he know that the can of tuna was damaged.,He developed botulism from the tuna.,He died because of the botulism.
Roderich realized his piano needed tuning.,He searched the phone book for a good piano tuning company.,"When he found it, he gave them a call.",They sent someone by to tune the piano.,Roderich was happy to have his piano back in working order.
Rachel was walking through a hotel with her suitcase.,She was walking along an indoor pond area.,"Suddenly, she tripped.",Her suitcase fell into the pond.,She checked and saw that everything was wet and ruined.
I was shopping for a painting of Chinatown.,I found one on ebay.,The artist was Margery Soroka.,It was an original watercolor of Pell Street in NYC.,I was very pleased with my purchase.
Leia had always been courteous to her fellow employees.,She made sure she was quiet and respected others' space.,"It was strange that on Wednesday, she came to the office hung over.",She apologized and stated that her ex boyfriend had come to town.,Everybody smelled the alcohol on Leia's breath.
James wanted to entered a soap box car derby but didn't have a car.,Instead he used an office chair with wheels and hoped for the best.,On the day of the race he had a massive lead over everyone else.,The office chair didn't have brakes so he flew through the finish.,James 3 miles before he could come to a stop.
Zippy was a brown cat in my neighborhood.,Zippy's owner abandoned him one day.,Zippy was very lonely and hungry.,I began to feed Zippy and we became friends.,I now have a pet cat named Zippy.
Jonas has felt depressed that it has been very cold lately.,He decides he needs to get out of his house.,Jonas drives to the local park to get some fresh air.,At the park he makes a huge snowman.,Jonas feels much better than he did before.
The Smith family went to a buffet.,The children ate three plates of food each.,The Smith parents ate four plates of food each.,Everyone left their plates for the waitress to clean up.,They drove away happy and full.
Gina was being harassed by a boy in class named Dave.,So she requested the teacher move his desk.,Gina watched as the teacher informed him of the move.,Gina hoped it would upset him.,To her dismay he seemed not to care at all.
I had just retrieved my marbles from Sally's house when it happened.,Everything went very black and cold.,I woke up the next day in the hospital!,Sally's dad thought I was robbing his house.,So he hit me upside the head with a baseball bat.
"Lucy wanted to go to the pool, but her grandma wouldn't let her.",She told her grandma she was going to the park instead.,Lucy was sure her grandma knew she was lying.,She stood waiting to be called a liar.,To her surprise her grandma let her go to the park.
Marcus had never liked reading much.,"He always watched TV instead, to his parents' disappointment.",Eventually his best friend Benny recommended a mystery series.,"Marcus was skeptical, but tried the first book.","He absolutely loved it, and his parents were overjoyed."
They said it was going to be warm today.,My mom went out to enjoy the weather.,She left all the windows in the house open.,She came home and the house was freezing.,Don't always trust the weatherman.
John was very focused on the grill.,He had been entrusted to make sure the burgers were perfect.,"But just a few minutes before they were done, a pretty girl walked by.",John walked over to talk to her.,Five minutes later he returned to a grill full of burned burgers.
Jim wanted to learn how to paint.,So he bought painting supplies and a painting book.,"When he became better at painting, he took his canvas outside.",And others watched him paint.,And people admired his landscape paintings.
The lion trainer opened the lion's' cage.,He brought one of the lions into the center ring.,He began the exercises as he had so many times before.,A metal wheel on the groundskeeper's cart squealed suddenly.,"The startled lion mauled its trainer, instead of doing its exercises."
I went to start my car last friday.,My car wouldn't turn over.,I took my alternator off to be tested.,The parts store said that it was bad.,I replaced my alternator with a new one.
Claudette was George's third wife.,"Every year, George would tell his children that he would visit them.","Every year, Claudette convinced George to take his vacation elsewhere.",George's grandchildren grew up without knowing him.,"When he finally visited, no one was interested in seeing him."
Sandy was watching a video on Youtube.,"At the end of the video, there was a poem scrolling.",Sandy felt that the poem looked familiar.,"Upon research, Sandy discovered it was a poem she wrote.",Sandy was glad to see her poem visualized on the screen.
Sean was on his computer.,He saw a competition from a soda company.,"He entered, and was asked to design a Christmas sweater.","Then, he waited.",He ended up winning the sweater!
Schmidt had to take the bus to work.,It took a long time.,The bus broke down.,He was very late for work.,He got written up at work.
The carpenter told Mick to make sure the baseboard was straight.,He showed him how to do it properly.,"Mick followed the instructions, and looked proudly at his work.","With only 2 more Year's of apprenticeship, he was on his way.",He smiled to himself as he got back on his knees to pursue his dream.
The gas station I frequent to buy coffee was robbed.,"I showed up one morning, and as I entered the door I was shoved aside.",A man came running out and slammed the door into my face.,"Before I could collect myself, the clerk came running after.","The man was a thief, and he was caught and arrested."
We had dinner in Brooklyn tonight.,"The included my wife, two kids, a grandchild and 3 in laws.",We were visiting from Boston.,We went to Buttermilk Channel.,Everyone ordered and enjoyed chicken and waffles.
Bob went to the store to get supplies before the storm.,There was no flashlights left and only candles.,On the shelf was a very large blue candle.,Bob bought it and brought it home.,When the power went out he light the candle and it lasted hours.
Carol had a bunch of obsolete computer manuals she had no use for.,She didn't want to throw them out and create more trash.,Carol had an inspired idea!,She and her friends built large trebuchets in their backyards.,"They had some epic medieval style fights, using the books as ammo."
Ashley wants to switch careers.,She's a teacher and she is sick of it.,She is underpaid and overworked on a daily basis.,She has applied to many jobs in other fields over the past week.,She hopes to land some interviews soon.
I always hunt for the best deals.,Right now I'm in the market for a new car.,I've been scanning Craigslist for a good used offer.,I'm pretty limited in my bargain-hunting this time.,"I have no car to drive to make the deal, so it has to be close."
The innkeeper didn't have any space in his inn when the man came.,He told the man he could have his bed as he looked tired.,"In the middle of the night, robbers came and the man slew them.",The innkeeper was very grateful.,"Ever since, he always found extra room for a guest."
Jared had a piano.,He wanted to learn a specific song.,He looked it up online.,Then he watched some tutorial videos.,"When he was done, he was able to play the song."
Aria found out her favorite band was playing tonight.,She invited a few friends.,They got ready and she picked them up.,They drove two hours to the city to the concert.,They danced and had a great time.
I got on the sled at the top of the hill.,My son gave me a big push.,I crashed into a tree halfway down.,My son was yelling something at me.,I had snow in my ears.
I had to make an apple pie for Thanksgiving.,This my first time trying to bake a pie.,I put in too many apples and it spilled over into the oven.,The spilled juice burned and filled the house with smoke.,"The pie tasted good, but my house smelled like smoke for a week."
The owner of a bar started a joke contest one night among the guests.,Each guest gave their best joke.,All of the jokes were very funny.,The bartender wrote down all the jokes that everyone said.,The owner published the jokes in the restaurant's newsletter.
The teacher gave us an assignment.,"Everyone finished the assignments, 20 minutes before the bell rung.",My teacher wrote another assignment on the board.,My friend got mad and flipped her desk over.,She walked out of the class.
Amy wore flip flops indoors all year long.,Her sister laughed at her for wearing flip flops instead of slippers.,As Amy was going down stairs her foot slipped through the flip flop.,Amy tumbled down the stairs.,Her sister laughed at her for breaking her cheap flip flop.
A man was having a panic attack.,His friend suggested to simply start singing.,The man began singing and calmed down.,He learned a new relaxation technique.,He never had a panic attack again.
Andy hosted a checker party at his house with dress requirements.,Everyone had to wear clothing with a checker pattern on it.,Kyle showed up with a plaid shirt.,Andy held a vote to see if Kyle's shirt qualified.,The vote was unanimous and Kyle had to change.
My dad and I flew to Canada.,"We landed in Edmonton, Alberta.",We went to the world largest mall there.,They even had an indoor waterpark.,We had a great day.
Mary and Cindy work together in the office.,They are also best friends outside of work.,One day Mary gets promoted to a job that Cindy secretly wanted.,Cindy was a bit frustrated at first but she never told Mary.,She didn't want to ruin a friendship so she made herself get over it.
